2	1	0	82.5818	82.5818	61	0	1	
0	0	2	83.2289	83.2289	0	0	1	
2	1	1	83.7072	83.7072	61	0	1	
3	1	1	84.1347	84.1347	66	2	1	
3	0	1	84.3983	84.3983	61	1	1	
2	1	1	84.7563	84.7563	64	0	1	
3	1	1	85.3139	85.3139	67	2	1	
3	0	1	85.6218	85.6218	64	1	1	
0	0	2	86.0667	86.0667	0	0	1	
1	0	1	86.868	86.868	63	0	1	
2	2	1	87.5365	87.5365	69	0	1	
3	1	1	87.9641	87.9641	70	2	1	
3	0	1	88.2277	88.2277	69	1	1	
0	0	2	88.5857	88.5857	0	0	1	
1	1	1	89.1433	89.1433	68	0	1	
2	2	1	89.6332	89.6332	68	0	1	
1	0	1	89.9799	89.9799	65	2	1	
3	0	1	90.2103	90.2103	68	2	1	
2	2	1	90.4033	90.4033	72	1	1	
3	0	1	90.6424	90.6424	73	3	1	
2	1	1	90.8199	90.8199	63	2	1	
3	3	1	91.0356	91.0356	76	4	1	
3	0	1	91.1997	91.1997	72	3	1	
2	1	1	91.3962	91.3962	65	2	1	
3	1	1	91.6406	91.6406	63	4	1	
3	0	1	91.8209	91.8209	75	3	1	
2	1	1	92.0409	92.0409	74	2	1	
2	0	1	92.323	92.323	58	4	1	
3	0	1	92.523	92.523	65	6	1	
3	4	1	92.6779	92.6779	79	5	1	
3	2	1	92.8612	92.8612	78	4	1	
3	0	1	93.0857	93.0857	77	3	1	
1	0	1	93.3752	93.3752	71	2	1	
0	0	2	93.7826	93.7826	0	2	1	
3	1	1	94.0859	94.0859	58	2	1	
3	0	1	94.3679	94.3679	74	1	1	
2	0	1	94.7608	94.7608	71	0	1	
3	1	1	95.4078	95.4078	82	2	1	
3	0	1	95.7412	95.7412	71	1	1	
2	0	1	96.2412	96.2412	80	0	1	
3	1	1	97.2412	97.2412	83	2	1	
3	0	1	97.6486	97.6486	80	1	1	
1	0	1	98.3361	98.3361	81	0	1	
0	0	2	100.536	100.536	0	0	1	
2	1	0	101.307	101.307	84	0	1	
2	1	1	101.954	101.954	84	0	1	
3	0	1	102.432	102.432	84	2	1	
2	1	1	102.714	102.714	86	1	1	
2	0	0	103.107	103.107	81	3	1	
3	1	1	103.357	103.357	86	3	1	
0	0	2	103.577	103.577	0	2	1	
3	0	1	103.859	103.859	87	2	1	
2	1	1	104.123	104.123	89	1	1	
3	2	1	104.481	104.481	91	3	1	
3	1	1	104.716	104.716	89	2	1	
3	0	1	105.024	105.024	88	1	1	
2	0	1	105.469	105.469	81	0	1	
3	1	1	106.27	106.27	92	2	1	
3	0	1	106.64	106.64	81	1	1	
1	1	1	107.228	107.228	90	0	1	
2	0	1	108.651	108.651	90	0	1	
2	0	1	109.298	109.298	93	2	1	
