0	0	2	0	0	0	0	1	
1	0	1	25	25	1	0	1	
2	0	1	30	30	1	0	1	
2	0	0	30.6098	30.6098	2	2	1	
3	1	1	31.8002	31.8002	3	2	1	
3	0	1	32.075	32.075	1	1	1	
2	0	1	32.4537	32.4537	2	0	1	
3	0	1	33.0635	33.0635	2	2	1	
3	0	1	33.4156	33.4156	5	1	1	
2	0	1	33.9591	33.9591	4	0	1	
3	1	1	35.1496	35.1496	6	2	1	
3	0	1	35.6398	35.6398	4	1	1	
0	0	2	36.6013	36.6013	0	0	1	
1	0	1	61.6013	61.6013	7	0	1	
2	1	1	66.6013	66.6013	8	0	1	
3	1	1	67.2111	67.2111	9	2	1	
3	0	1	67.5632	67.5632	8	1	1	
2	0	1	68.1067	68.1067	7	0	1	
3	0	1	69.2971	69.2971	7	2	1	
3	0	1	69.7873	69.7873	10	1	1	
0	0	2	70.7489	70.7489	0	0	1	
1	0	1	95.7489	95.7489	11	0	1	
2	0	0	100.749	100.749	11	0	1	
2	1	1	101.359	101.359	12	0	1	
2	0	1	101.768	101.768	11	2	1	
2	0	1	102.043	102.043	13	4	1	
3	5	1	102.25	102.25	16	6	1	
3	3	1	102.415	102.415	15	5	1	
3	0	1	102.614	102.614	12	4	1	
3	1	1	102.861	102.861	11	3	1	
3	0	1	103.19	103.19	14	2	1	
3	0	1	103.68	103.68	13	1	1	
0	0	2	104.642	104.642	0	0	1	
1	0	0	129.642	129.642	17	0	1	
1	1	1	134.642	134.642	18	0	1	
2	1	1	137.42	137.42	19	0	1	
3	1	1	137.975	137.975	20	2	1	
3	0	1	138.309	138.309	19	1	1	
2	0	0	138.809	138.809	18	0	1	
2	1	1	139.809	139.809	21	0	1	
1	0	1	140.364	140.364	17	2	1	
2	1	1	140.698	140.698	17	2	1	
2	0	1	140.923	140.923	18	4	1	
3	3	1	141.1	141.1	24	6	1	
3	1	1	141.246	141.246	22	5	1	
3	0	1	141.417	141.417	21	4	1	
3	0	1	141.624	141.624	17	3	1	
2	0	1	141.885	141.885	23	2	1	
3	1	1	142.237	142.237	25	4	1	
3	1	1	142.484	142.484	23	3	1	
3	1	1	142.813	142.813	26	2	1	
3	0	1	143.303	143.303	18	1	1	
0	0	2	144.265	144.265	0	0	1	
0	0	2	169.265	169.265	0	0	1	
1	0	1	174.265	174.265	27	0	1	
2	0	1	177.043	177.043	27	0	1	
3	0	1	177.598	177.598	27	2	1	
2	0	1	177.932	177.932	29	1	1	
3	0	1	178.432	178.432	30	3	1	
3	1	1	178.744	178.744	31	2	1	
3	0	1	179.199	179.199	29	1	1	
0	0	2	180.032	180.032	0	0	1	
0	0	2	185.032	185.032	0	0	1	
1	2	0	187.81	187.81	33	0	1	
1	0	0	189.733	189.733	28	0	1	
1	2	0	191.203	191.203	33	0	1	
1	1	0	192.394	192.394	32	0	1	
1	1	1	193.394	193.394	32	0	1	
2	0	1	194.256	194.256	32	0	1	
1	0	1	194.64	194.64	28	2	1	
3	1	1	194.904	194.904	39	2	1	
1	4	1	195.094	195.094	37	1	1	
1	1	1	195.33	195.33	34	1	1	
3	0	1	195.506	195.506	32	1	1	
2	2	1	195.647	195.647	40	0	1	
3	0	1	195.81	195.81	40	2	1	
3	0	1	195.947	195.947	43	1	1	
